task_id,parent_id,phase,title,goal,owner_lane,owner_agent,helper_id,model_tag,agent_runtime,shell_mode,repo_target,repo_path,filesystem_scope,input_files,target_files,target_artifacts,allowed_paths,blocked_paths,depends_on,blocks,parallel_group,can_run_parallel,max_parallel,start_after,priority,status,execution_cell,required_tools,command_template,verification_command,completion_gate,proof_required,proof_uri,heartbeat_file,logs_uri,rollback_plan,risk_level,human_approval_required,notes
REQ-021_ENVCTL_TARGET_REGISTRY,REQ-010_CONTRACT_LOCK,02-envctl-db,Implement target registry,Allow envctl database to describe any migration target through target descriptors,lane_b_repo_a,envctl-db-agent,helper-envctl-target-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,schemas/target_descriptor.schema.json|examples/target-descriptors/**,envctl target registry code,target registry,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-020_ENVCTL_DB_SCHEMA,REQ-027_ENVCTL_REPLAY_ENGINE,envctl_db_parallel,true,4,,120,pending,02-envctl-db,codex|python3|shell,codex exec < generated/execution_packets/REQ-021_ENVCTL_TARGET_REGISTRY.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-021_ENVCTL_TARGET_REGISTRY.proof.json,state/REQ-021_ENVCTL_TARGET_REGISTRY.heartbeat.json,logs/REQ-021_ENVCTL_TARGET_REGISTRY.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Additive feature work; no downgrades.
REQ-022_ENVCTL_RUN_LEDGER,REQ-010_CONTRACT_LOCK,02-envctl-db,Implement run ledger,"Persist migration run lineage, event stream, operation state, and proof links",lane_b_repo_a,envctl-db-agent,helper-envctl-ledger-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,sql/**|schemas/run_event.schema.json|schemas/operation.schema.json,envctl run ledger code,run ledger,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-020_ENVCTL_DB_SCHEMA,REQ-027_ENVCTL_REPLAY_ENGINE,envctl_db_parallel,true,4,,130,pending,02-envctl-db,codex|python3|shell,codex exec < generated/execution_packets/REQ-022_ENVCTL_RUN_LEDGER.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-022_ENVCTL_RUN_LEDGER.proof.json,state/REQ-022_ENVCTL_RUN_LEDGER.heartbeat.json,logs/REQ-022_ENVCTL_RUN_LEDGER.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Additive feature work; no downgrades.
REQ-023_ENVCTL_OPERATION_STATE,REQ-010_CONTRACT_LOCK,02-envctl-db,Implement operation state machine,"Track planned, runnable, running, blocked, failed, approved, completed, rolled-back operations",lane_b_repo_a,envctl-db-agent,helper-envctl-state-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,schemas/operation.schema.json|prompts/AGENT_CONTROL_PROTOCOL.md,envctl operation state code,operation state machine,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-020_ENVCTL_DB_SCHEMA,REQ-028_ENVCTL_AGENT_CONTROL_API,envctl_db_parallel,true,4,,140,pending,02-envctl-db,codex|python3|shell,codex exec < generated/execution_packets/REQ-023_ENVCTL_OPERATION_STATE.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-023_ENVCTL_OPERATION_STATE.proof.json,state/REQ-023_ENVCTL_OPERATION_STATE.heartbeat.json,logs/REQ-023_ENVCTL_OPERATION_STATE.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Additive feature work; no downgrades.
REQ-024_ENVCTL_ARTIFACT_REGISTRY,REQ-010_CONTRACT_LOCK,02-envctl-db,Implement artifact registry,"Persist paths, hashes, producers, contract IDs, provenance, and validation links",lane_b_repo_a,envctl-db-agent,helper-envctl-artifacts-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,schemas/artifact_record.schema.json|expected-output/migration-automation-artifacts.md,envctl artifact registry code,artifact registry,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-020_ENVCTL_DB_SCHEMA,ART-100_SYSTEM_INVENTORY,envctl_db_parallel,true,4,,150,pending,02-envctl-db,codex|python3|shell,codex exec < generated/execution_packets/REQ-024_ENVCTL_ARTIFACT_REGISTRY.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-024_ENVCTL_ARTIFACT_REGISTRY.proof.json,state/REQ-024_ENVCTL_ARTIFACT_REGISTRY.heartbeat.json,logs/REQ-024_ENVCTL_ARTIFACT_REGISTRY.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Additive feature work; no downgrades.
REQ-025_ENVCTL_VALIDATION_EVIDENCE,REQ-010_CONTRACT_LOCK,02-envctl-db,Implement validation evidence store,"Store reconciliation, parity, test results, and proof evidence",lane_b_repo_a,envctl-db-agent,helper-envctl-validation-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,schemas/validation_result.schema.json,envctl validation evidence code,validation evidence store,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-020_ENVCTL_DB_SCHEMA,ART-123_VALIDATION_RECONCILIATION,envctl_db_parallel,true,4,,160,pending,02-envctl-db,codex|python3|shell,codex exec < generated/execution_packets/REQ-025_ENVCTL_VALIDATION_EVIDENCE.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-025_ENVCTL_VALIDATION_EVIDENCE.proof.json,state/REQ-025_ENVCTL_VALIDATION_EVIDENCE.heartbeat.json,logs/REQ-025_ENVCTL_VALIDATION_EVIDENCE.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Additive feature work; no downgrades.
REQ-026_ENVCTL_ROLLBACK_CHECKPOINTS,REQ-010_CONTRACT_LOCK,02-envctl-db,Implement checkpoints and rollback handles,Persist rollback boundaries for safe repeat/revert operations,lane_b_repo_a,envctl-db-agent,helper-envctl-rollback-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,sql/**|prompts/SECURITY_REPRODUCIBILITY_MODEL.md,envctl checkpoint/rollback code,rollback substrate,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-020_ENVCTL_DB_SCHEMA,REQ-027_ENVCTL_REPLAY_ENGINE,envctl_db_parallel,true,4,,170,pending,02-envctl-db,codex|python3|shell,codex exec < generated/execution_packets/REQ-026_ENVCTL_ROLLBACK_CHECKPOINTS.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-026_ENVCTL_ROLLBACK_CHECKPOINTS.proof.json,state/REQ-026_ENVCTL_ROLLBACK_CHECKPOINTS.heartbeat.json,logs/REQ-026_ENVCTL_ROLLBACK_CHECKPOINTS.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,true,Additive feature work; no downgrades.
REQ-027_ENVCTL_REPLAY_ENGINE,REQ-010_CONTRACT_LOCK,02-envctl-db,Implement replay/reproduce engine,"Re-run a migration from descriptors, recipes, packets, proofs, hashes, and state",lane_b_repo_a,envctl-runner-agent,helper-envctl-replay-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,specs/replay-and-reproducibility.md|examples/recipes/**|execution-framework/generated/execution_manifest.json,envctl replay commands,replay engine,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-021_ENVCTL_TARGET_REGISTRY|REQ-022_ENVCTL_RUN_LEDGER|REQ-026_ENVCTL_ROLLBACK_CHECKPOINTS,REQ-041_TWO_REPO_INTEGRATION,envctl_integration,true,2,,180,pending,02-envctl-db,codex|python3|shell,codex exec < generated/execution_packets/REQ-027_ENVCTL_REPLAY_ENGINE.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-027_ENVCTL_REPLAY_ENGINE.proof.json,state/REQ-027_ENVCTL_REPLAY_ENGINE.heartbeat.json,logs/REQ-027_ENVCTL_REPLAY_ENGINE.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,critical,true,Additive feature work; no downgrades.
REQ-028_ENVCTL_AGENT_CONTROL_API,REQ-010_CONTRACT_LOCK,02-envctl-db,Implement agent control API,Expose database-controlled CLI operations for agents/helpers and human control,lane_b_repo_a,envctl-runner-agent,helper-envctl-agent-api-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,schemas/envctl_migration_api.openapi.json|prompts/AGENT_CONTROL_PROTOCOL.md,envctl agent control API/CLI,agent control API,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-023_ENVCTL_OPERATION_STATE|REQ-025_ENVCTL_VALIDATION_EVIDENCE,REQ-041_TWO_REPO_INTEGRATION,envctl_integration,true,2,,190,pending,02-envctl-db,codex|python3|shell,codex exec < generated/execution_packets/REQ-028_ENVCTL_AGENT_CONTROL_API.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-028_ENVCTL_AGENT_CONTROL_API.proof.json,state/REQ-028_ENVCTL_AGENT_CONTROL_API.heartbeat.json,logs/REQ-028_ENVCTL_AGENT_CONTROL_API.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,critical,true,Additive feature work; no downgrades.
REQ-030_PLUGIN_PROTOCOL_MANIFEST,REQ-010_CONTRACT_LOCK,03-nu-plugin,Implement nu_plugin command manifest,Expose command metadata and schema-compatible commands for envctl database control,lane_c_repo_b,nu-plugin-agent,helper-nu-manifest-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_b,${NU_PLUGIN_REPO},repo,schemas/nu_plugin_command_manifest.schema.json|prompts/NU_PLUGIN_CONTRACT.md,nu_plugin command manifest,plugin manifest,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-010_CONTRACT_LOCK,REQ-041_TWO_REPO_INTEGRATION,shared_protocol,true,2,,200,pending,03-nu-plugin,codex|python3|shell,codex exec < generated/execution_packets/REQ-030_PLUGIN_PROTOCOL_MANIFEST.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-030_PLUGIN_PROTOCOL_MANIFEST.proof.json,state/REQ-030_PLUGIN_PROTOCOL_MANIFEST.heartbeat.json,logs/REQ-030_PLUGIN_PROTOCOL_MANIFEST.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Additive feature work; no downgrades.
REQ-031_PLUGIN_COMMAND_SURFACE,REQ-010_CONTRACT_LOCK,03-nu-plugin,Implement operator command surface,"Add commands for target list, run plan, run start, pause, resume, approve, status, proof, replay",lane_c_repo_b,nu-plugin-agent,helper-nu-command-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_b,${NU_PLUGIN_REPO},repo,specs/command-surface.md|examples/nu/operator-session-template.nu,nu_plugin commands,operator command surface,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-030_PLUGIN_PROTOCOL_MANIFEST,REQ-041_TWO_REPO_INTEGRATION,nu_plugin_parallel,true,4,,210,pending,03-nu-plugin,codex|python3|shell,codex exec < generated/execution_packets/REQ-031_PLUGIN_COMMAND_SURFACE.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-031_PLUGIN_COMMAND_SURFACE.proof.json,state/REQ-031_PLUGIN_COMMAND_SURFACE.heartbeat.json,logs/REQ-031_PLUGIN_COMMAND_SURFACE.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,critical,false,Additive feature work; no downgrades.
REQ-032_PLUGIN_LIVE_VISUALS,REQ-010_CONTRACT_LOCK,03-nu-plugin,Implement live visuals,"Render task graph, status, parallel lanes, proof state, and blockers for human users",lane_c_repo_b,nu-plugin-visuals-agent,helper-nu-visuals-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_b,${NU_PLUGIN_REPO},repo,prompts/LIVE_VISUALS_AND_HUMAN_CONTROL.md|generated/status_report.json,nu_plugin visual output,live visuals,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-030_PLUGIN_PROTOCOL_MANIFEST,REQ-041_TWO_REPO_INTEGRATION,nu_plugin_parallel,true,4,,220,pending,03-nu-plugin,codex|python3|shell,codex exec < generated/execution_packets/REQ-032_PLUGIN_LIVE_VISUALS.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-032_PLUGIN_LIVE_VISUALS.proof.json,state/REQ-032_PLUGIN_LIVE_VISUALS.heartbeat.json,logs/REQ-032_PLUGIN_LIVE_VISUALS.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Additive feature work; no downgrades.
REQ-033_PLUGIN_HUMAN_APPROVAL,REQ-010_CONTRACT_LOCK,03-nu-plugin,Implement human approval commands,"Allow users to opt in, approve, deny, pause, or delegate operations",lane_c_repo_b,nu-plugin-agent,helper-nu-approval-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_b,${NU_PLUGIN_REPO},repo,schemas/approval_request.schema.json|prompts/LIVE_VISUALS_AND_HUMAN_CONTROL.md,nu_plugin approval commands,human approval surface,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-030_PLUGIN_PROTOCOL_MANIFEST,REQ-041_TWO_REPO_INTEGRATION,nu_plugin_parallel,true,4,,230,pending,03-nu-plugin,codex|python3|shell,codex exec < generated/execution_packets/REQ-033_PLUGIN_HUMAN_APPROVAL.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-033_PLUGIN_HUMAN_APPROVAL.proof.json,state/REQ-033_PLUGIN_HUMAN_APPROVAL.heartbeat.json,logs/REQ-033_PLUGIN_HUMAN_APPROVAL.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,critical,true,Additive feature work; no downgrades.
REQ-034_PLUGIN_STATUS_STREAMS,REQ-010_CONTRACT_LOCK,03-nu-plugin,Implement status streams,Stream envctl operation events and proof status into Nushell table/visual views,lane_c_repo_b,nu-plugin-agent,helper-nu-streams-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_b,${NU_PLUGIN_REPO},repo,schemas/run_event.schema.json|specs/envctl-nu-plugin-boundary.md,nu_plugin status stream code,status streams,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|execution-framework/**|execution-templates/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-030_PLUGIN_PROTOCOL_MANIFEST,REQ-041_TWO_REPO_INTEGRATION,nu_plugin_parallel,true,4,,240,pending,03-nu-plugin,codex|python3|shell,codex exec < generated/execution_packets/REQ-034_PLUGIN_STATUS_STREAMS.json,task-specific tests plus proof file exists,proof exists and verification output passes,true,proof_records/REQ-034_PLUGIN_STATUS_STREAMS.proof.json,state/REQ-034_PLUGIN_STATUS_STREAMS.heartbeat.json,logs/REQ-034_PLUGIN_STATUS_STREAMS.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Additive feature work; no downgrades.
